category_id,category_name,group_name
1,Молоко и сливки,Молочная продукция и яйца
2,Кисломолочные продукты,Молочная продукция и яйца
3,Сыры,Молочная продукция и яйца
4,Творог и сметана,Молочная продукция и яйца
5,Масло и маргарин,Молочная продукция и яйца
6,Яйца,Молочная продукция и яйца
7,Мясо,"Мясо, птица, рыба"
8,Птица,"Мясо, птица, рыба"
9,Колбасы и сосиски,"Мясо, птица, рыба"
10,Рыба и морепродукты,"Мясо, птица, рыба"
11,Овощи,Овощи и фрукты
12,Фрукты,Овощи и фрукты
13,Зелень и салаты,Овощи и фрукты
14,Орехи и сухофрукты,Овощи и фрукты
15,Крупы,Бакалея
16,Макаронные изделия,Бакалея
17,Консервы,Бакалея
18,Соусы и специи,Бакалея
19,Чай и кофе,Бакалея
20,Сладости,Бакалея
21,Снеки,Бакалея
22,Хлеб,Хлеб и выпечка
23,Выпечка и торты,Хлеб и выпечка
24,Вода,Напитки
25,Соки и морсы,Напитки
26,Газированные напитки,Напитки
27,Энергетики,Напитки
28,Средства для стирки,Бытовая химия и гигиена
29,Средства для уборки,Бытовая химия и гигиена
30,Личная гигиена,Бытовая химия и гигиена
31,Бумажная продукция,Бытовая химия и гигиена
32,Посуда,Товары для дома
33,Товары для кухни,Товары для дома
34,Товары для животных,Товары для дома
35,Электротовары,Товары для дома
