product_id,product_name,category_id,base_price_kop
1,"Молоко 2,5% «Белый берег»",1,9290
2,"Молоко 2,5% «Белый берег» премиум",1,7090
3,"Молоко 2,5% «Белый берег» эконом",1,6190
4,"Молоко 2,5% «Вкусная полка»",1,6990
5,"Молоко 2,5% «Вкусная полка» большая упаковка",1,8490
6,"Молоко 2,5% «Вкусная полка» мини",1,13090
7,"Молоко 2,5% «Дары Сибири» большая упаковка",1,5990
8,"Молоко 2,5% «Дары Сибири» эконом",1,9590
9,"Молоко 2,5% «Добрый край» мини",1,7990
10,"Молоко 2,5% «Лугово»",1,8490
11,"Молоко 2,5% «Лугово» мини",1,13490
12,"Молоко 2,5% «Лугово» премиум",1,11490
13,"Молоко 2,5% «Отборное» эконом",1,15190
14,"Молоко 2,5% «Парма»",1,8990
15,"Молоко 2,5% «Парма» мини",1,7390
16,"Молоко 2,5% «Премиум Лайн» премиум",1,8790
17,"Молоко 2,5% «Родные просторы» большая упаковка",1,10290
18,"Молоко 2,5% «Своё»",1,10090
19,"Молоко 2,5% «Семейный выбор»",1,6490
20,"Молоко 2,5% «Семейный выбор» эконом",1,9790
21,"Молоко 2,5% «Солнечный день» премиум",1,10290
22,"Молоко 2,5% «Уральские зори»",1,22890
23,"Молоко 2,5% «Уральские зори» большая упаковка",1,18290
24,"Молоко 2,5% «Утро»",1,6990
25,"Молоко 2,5% «Экономыч»",1,8590
26,"Молоко 2,5% «Экономыч» большая упаковка",1,5690
27,"Молоко 2,5% «Экономыч» фермерский",1,7690
28,"Молоко 3,2% «Белый берег» эконом",1,10590
29,"Молоко 3,2% «Вкусная полка» премиум",1,14490
30,"Молоко 3,2% «Дары Сибири» фермерский",1,7390
31,"Молоко 3,2% «Золотая нива»",1,7590
32,"Молоко 3,2% «Золотая нива» мини",1,4490
33,"Молоко 3,2% «Золотая нива» премиум",1,8990
34,"Молоко 3,2% «Золотая нива» фермерский",1,6490
35,"Молоко 3,2% «Кама» премиум",1,7890
36,"Молоко 3,2% «Кама» эконом",1,6990
37,"Молоко 3,2% «Лугово»",1,9190
38,"Молоко 3,2% «Лугово» мини",1,5090
39,"Молоко 3,2% «Мегаполис»",1,5690
40,"Молоко 3,2% «Отборное» фермерский",1,19990
41,"Молоко 3,2% «Премиум Лайн»",1,6090
42,"Молоко 3,2% «Премиум Лайн» большая упаковка",1,6490
43,"Молоко 3,2% «Северная ферма»",1,18090
44,"Молоко 3,2% «Утро»",1,26290
45,"Молоко 3,2% «Утро» большая упаковка",1,6290
46,"Молоко 3,2% «Экономыч»",1,8390
47,Молоко топлёное «Белый берег» премиум,1,10690
48,Молоко топлёное «Белый берег» эконом,1,17390
49,Молоко топлёное «Вкусная полка» мини,1,6690
50,Молоко топлёное «Вкусная полка» фермерский,1,8690
51,Молоко топлёное «Дары Сибири»,1,12490
52,Молоко топлёное «Кама»,1,11090
53,Молоко топлёное «Кама» мини,1,8290
54,Молоко топлёное «Кама» фермерский,1,9090
55,Молоко топлёное «Лугово»,1,5890
56,Молоко топлёное «Лугово» фермерский,1,8690
57,Молоко топлёное «Мегаполис»,1,8690
58,Молоко топлёное «Мегаполис» большая упаковка,1,10290
59,Молоко топлёное «Отборное»,1,7790
60,Молоко топлёное «Отборное» фермерский,1,11190
61,Молоко топлёное «Отборное» эконом,1,13490
62,Молоко топлёное «Парма»,1,9990
63,Молоко топлёное «Парма» премиум,1,10690
64,Молоко топлёное «Приволжье» фермерский,1,9690
65,Молоко топлёное «Своё»,1,9490
66,Молоко топлёное «Северная ферма» большая упаковка,1,7390
67,Молоко топлёное «Семейный выбор»,1,10590
68,Молоко топлёное «Семейный выбор» эконом,1,9190
69,Молоко топлёное «Солнечный день» фермерский,1,19790
70,Молоко топлёное «Уральские зори» эконом,1,16490
71,Молоко топлёное «Утро» фермерский,1,10890
72,Молоко топлёное «Экономыч»,1,7290
73,Сливки 10% «Вкусная полка»,1,6390
74,Сливки 10% «Вкусная полка» фермерский,1,14390
75,Сливки 10% «Дары Сибири» фермерский,1,10390
76,Сливки 10% «Дары Сибири» эконом,1,11190
77,Сливки 10% «Золотая нива» эконом,1,5190
78,Сливки 10% «Кама» фермерский,1,13090
79,Сливки 10% «Отборное»,1,11090
80,Сливки 10% «Отборное» эконом,1,6390
81,Сливки 10% «Парма»,1,8090
82,Сливки 10% «Парма» премиум,1,10390
83,Сливки 10% «Премиум Лайн»,1,9690
84,Сливки 10% «Премиум Лайн» мини,1,8590
85,Сливки 10% «Приволжье» мини,1,9190
86,Сливки 10% «Приволжье» эконом,1,8690
87,Сливки 10% «Своё» эконом,1,9990
88,Сливки 10% «Семейный выбор» эконом,1,15890
89,Сливки 10% «Солнечный день»,1,3890
90,Сливки 10% «Солнечный день» премиум,1,8690
91,Сливки 10% «Экономыч» большая упаковка,1,10090
92,Сливки 10% «Экономыч» мини,1,10490
93,Сливки 20% «Вкусная полка» большая упаковка,1,8290
94,Сливки 20% «Вкусная полка» мини,1,5090
95,Сливки 20% «Дары Сибири»,1,10690
96,Сливки 20% «Добрый край» эконом,1,17390
97,Сливки 20% «Золотая нива»,1,5590
98,Сливки 20% «Кама»,1,12890
99,Сливки 20% «Кама» мини,1,8490
100,Сливки 20% «Кама» премиум,1,9290
101,Сливки 20% «Лугово» премиум,1,6590
102,Сливки 20% «Лугово» фермерский,1,8490
103,Сливки 20% «Мегаполис»,1,14990
104,Сливки 20% «Отборное»,1,11590
105,Сливки 20% «Парма»,1,17390
106,Сливки 20% «Премиум Лайн»,1,14290
107,Сливки 20% «Приволжье» большая упаковка,1,11090
108,Сливки 20% «Приволжье» фермерский,1,17490
109,Сливки 20% «Приволжье» эконом,1,11090
110,Сливки 20% «Родные просторы»,1,12690
111,Сливки 20% «Своё»,1,8590
112,Сливки 20% «Северная ферма»,1,9690
113,Сливки 20% «Северная ферма» фермерский,1,7390
114,Сливки 20% «Семейный выбор»,1,13390
115,Сливки 20% «Солнечный день»,1,6290
116,Сливки 20% «Солнечный день» мини,1,12490
117,Сливки 20% «Уральские зори» большая упаковка,1,8890
118,Сливки 20% «Уральские зори» мини,1,14290
119,Сливки 20% «Утро»,1,12390
120,Сливки 20% «Экономыч» мини,1,17990
121,Айран «Белый берег» фермерский,2,8290
122,Айран «Дары Сибири»,2,7990
123,Айран «Дары Сибири» большая упаковка,2,6490
124,Айран «Дары Сибири» премиум,2,9890
125,Айран «Дары Сибири» фермерский,2,6290
126,Айран «Добрый край»,2,10690
127,Айран «Золотая нива» мини,2,12390
128,Айран «Кама»,2,9690
129,Айран «Лугово»,2,7690
130,Айран «Премиум Лайн»,2,9990
131,Айран «Приволжье»,2,7590
132,Айран «Приволжье» эконом,2,11790
133,Айран «Родные просторы»,2,4490
134,Айран «Своё»,2,7590
135,Айран «Северная ферма»,2,4190
136,Айран «Северная ферма» эконом,2,4990
137,Айран «Уральские зори»,2,13690
138,Айран «Уральские зори» фермерский,2,11590
139,Айран «Экономыч» мини,2,6590
140,Йогурт питьевой «Белый берег»,2,4990
141,Йогурт питьевой «Белый берег» большая упаковка,2,2990
