event_id,event_ts,receipt_id,line_no,store_id,product_id,category_id,customer_id,is_loyalty,operation_type,quantity,price_regular_kop,price_paid_kop,payment_method,ref_event_id
100000003,2026-09-05 00:07:12.937,50000002,1,146,2303,29,222034,true,SALE,1,32380,32380,CARD,
100000004,2026-09-05 00:07:15.656,50000002,2,146,1599,20,222034,true,SALE,1,18060,18060,CARD,
100000005,2026-09-05 00:07:17.876,50000002,3,146,1176,14,222034,true,SALE,1,33430,33430,CARD,
100000006,2026-09-05 00:07:19.919,50000002,4,146,1128,13,222034,true,SALE,2,18980,16133,CARD,
100000007,2026-09-05 00:07:22.914,50000002,5,146,389,4,222034,true,SALE,1,10080,9576,CARD,
100000008,2026-09-05 00:07:25.009,50000002,6,146,834,10,222034,true,SALE,1,62770,62770,CARD,
100000009,2026-09-05 00:07:27.518,50000002,7,146,1813,22,222034,true,SALE,3,20730,20730,CARD,
100000010,2026-09-05 00:07:30.332,50000002,8,146,1331,16,222034,true,SALE,1,14420,14420,CARD,
100000001,2026-09-05 00:37:53.164,50000001,1,144,1806,22,,false,SALE,1,5010,5010,CASH,
100000002,2026-09-05 00:37:55.472,50000001,2,144,190,2,,false,SALE,1,20690,20690,CASH,
100000037,2026-09-05 01:03:31.194,50000007,1,144,1599,20,123181,true,SALE,1,18410,18410,CARD,
100000038,2026-09-05 01:03:33.682,50000007,2,144,493,6,123181,true,SALE,1,13390,13390,CARD,
100000039,2026-09-05 01:03:35.363,50000007,3,144,1355,16,123181,true,SALE,2,26780,26780,CARD,
100000040,2026-09-05 01:03:38.116,50000007,4,144,2056,25,123181,true,SALE,1,20570,20570,CARD,
100000041,2026-09-05 01:03:40.456,50000007,5,144,927,11,123181,true,SALE,1,5730,5730,CARD,
100000011,2026-09-05 01:09:05.490,50000003,1,140,22,1,11533,true,SALE,1,26500,25175,CARD,
100000012,2026-09-05 01:09:08.254,50000003,2,140,945,11,11533,true,SALE,4,34240,34240,CARD,
100000061,2026-09-05 01:09:09.407,50000012,1,149,1935,23,,false,SALE,3,70650,70650,CASH,
100000013,2026-09-05 01:09:11.049,50000003,3,140,2183,26,11533,true,SALE,1,6010,5710,CARD,
100000062,2026-09-05 01:09:11.891,50000012,2,149,354,4,,false,SALE,1,15430,15430,CASH,
100000014,2026-09-05 01:09:13.286,50000003,4,140,2004,24,11533,true,SALE,1,4390,4170,CARD,
100000063,2026-09-05 01:09:14.421,50000012,3,149,2353,29,,false,SALE,1,18400,18400,CASH,
100000015,2026-09-05 01:09:15.936,50000003,5,140,2299,29,11533,true,SALE,1,33790,33790,CARD,
100000064,2026-09-05 01:09:16.985,50000012,4,149,87,1,,false,SALE,1,11420,7994,CASH,
100000016,2026-09-05 01:09:18.634,50000003,6,140,1301,16,11533,true,SALE,3,28800,28800,CARD,
100000065,2026-09-05 01:09:19.345,50000012,5,149,2004,24,,false,SALE,1,4330,4330,CASH,
100000017,2026-09-05 01:09:21.069,50000003,7,140,1038,12,11533,true,SALE,1,38770,36832,CARD,
100000066,2026-09-05 01:09:22.362,50000012,6,149,1646,20,,false,SALE,1,25380,19035,CASH,
100000018,2026-09-05 01:09:23.461,50000003,8,140,917,11,11533,true,SALE,1,8670,8236,CARD,
100000067,2026-09-05 01:09:24.374,50000012,7,149,603,7,,false,SALE,6,399240,399240,CASH,
100000019,2026-09-05 01:09:25.402,50000003,9,140,96,1,11533,true,SALE,1,20130,20130,CARD,
100000039,2026-09-05 01:03:35.363,50000007,3,144,1355,16,123181,true,SALE,2,26780,26780,CARD,
100000068,2026-09-05 01:09:26.989,50000012,8,149,459,5,,false,SALE,1,34520,34520,CASH,
100000028,2026-09-05 01:11:08.976,50000005,1,141,2094,25,,false,SALE,1,11330,11330,SBP,
100000029,2026-09-05 01:11:11.568,50000005,2,141,28,1,,false,SALE,1,12260,7969,SBP,
100000030,2026-09-05 01:11:13.550,50000005,3,141,354,4,,false,SALE,1,15610,15610,SBP,
100000078,2026-09-05 01:12:14.583,50000003,6,140,1301,16,11533,true,CANCEL,3,28800,28800,CARD,100000016
100000069,2026-09-05 01:13:08.663,50000013,1,149,880,11,,false,SALE,1,12910,12910,CARD,
100000070,2026-09-05 01:13:10.740,50000013,2,149,2028,24,,false,SALE,1,4330,3680,CARD,
100000071,2026-09-05 01:13:12.813,50000013,3,149,2134,26,,false,SALE,1,24460,24460,CARD,
100000072,2026-09-05 01:13:15.303,50000013,4,149,370,4,,false,SALE,1,15310,15310,CARD,
100000073,2026-09-05 01:13:18.239,50000013,5,149,855,10,,false,SALE,1,67800,67800,CARD,
100000074,2026-09-05 01:13:20.951,50000013,6,149,559,7,,false,SALE,1,35780,35780,CARD,
100000075,2026-09-05 01:13:23.745,50000013,7,149,230,3,,false,SALE,1,42760,42760,CARD,
100000076,2026-09-05 01:13:25.433,50000013,8,149,1622,20,,false,SALE,1,14170,14170,CARD,
100000077,2026-09-05 01:13:28.345,50000013,9,149,834,10,,false,SALE,1,61170,61170,CARD,
100000080,2026-09-05 01:15:28.689,50000013,2,149,2028,24,,false,CANCEL,1,4330,3680,CARD,100000070
100000048,2026-09-05 01:22:54.770,50000009,1,146,212,2,363599,false,SALE,1,5970,5970,CASH,
100000049,2026-09-05 01:22:57.156,50000009,2,146,190,2,363599,false,SALE,1,20290,20290,CASH,
100000050,2026-09-05 01:22:59.664,50000009,3,146,1660,20,363599,false,SALE,1,13480,13480,CASH,
100000051,2026-09-05 01:23:02.001,50000009,4,146,1540,19,363599,false,SALE,1,38830,38830,CASH,
100000020,2026-09-05 01:26:41.008,50000004,1,140,2282,28,192808,true,SALE,2,159040,151088,CARD,
100000021,2026-09-05 01:26:43.835,50000004,2,140,1183,14,192808,true,SALE,1,26960,26960,CARD,
100000022,2026-09-05 01:26:46.497,50000004,3,140,1046,12,192808,true,SALE,2,35180,26385,CARD,
100000023,2026-09-05 01:26:49.006,50000004,4,140,1235,15,192808,true,SALE,1,9710,9710,CARD,
100000024,2026-09-05 01:26:51.625,50000004,5,140,1950,24,192808,true,SALE,1,4160,4160,CARD,
100000025,2026-09-05 01:26:53.442,50000004,6,140,538,6,192808,true,SALE,1,20020,20020,CARD,
100000026,2026-09-05 01:26:56.012,50000004,7,140,1765,22,192808,true,SALE,2,15720,14934,CARD,
100000027,2026-09-05 01:26:58.488,50000004,8,140,1767,22,192808,true,SALE,1,5890,5890,CARD,
100000052,2026-09-05 01:27:48.265,50000010,1,147,1245,15,,false,SALE,2,22520,22520,CARD,
100000053,2026-09-05 01:27:50.954,50000010,2,147,1202,14,,false,SALE,1,23940,23940,CARD,
100000054,2026-09-05 01:27:53.938,50000010,3,147,338,4,,false,SALE,1,11730,11730,CARD,
100000055,2026-09-05 01:27:55.996,50000010,4,147,1202,14,,false,SALE,1,23940,23940,CARD,
