store_id,store_name,city,region,format,open_date
1,"Москва, магазин №1",Москва,Москва,у дома,2023-04-15
2,"Москва, магазин №2",Москва,Москва,у дома,2012-11-19
3,"Москва, магазин №3",Москва,Москва,у дома,2024-01-16
4,"Москва, магазин №4",Москва,Москва,супермаркет,2015-07-29
5,"Москва, магазин №5",Москва,Москва,супермаркет,2017-09-26
6,"Москва, магазин №6",Москва,Москва,супермаркет,2014-07-29
7,"Москва, магазин №7",Москва,Москва,гипермаркет,2018-08-23
8,"Москва, магазин №8",Москва,Москва,гипермаркет,2020-07-25
9,"Москва, магазин №9",Москва,Москва,гипермаркет,2015-01-29
10,"Москва, магазин №10",Москва,Москва,супермаркет,2016-02-24
11,"Москва, магазин №11",Москва,Москва,у дома,2024-06-20
12,"Москва, магазин №12",Москва,Москва,супермаркет,2015-12-08
13,"Москва, магазин №13",Москва,Москва,супермаркет,2020-05-21
14,"Москва, магазин №14",Москва,Москва,у дома,2016-11-08
15,"Москва, магазин №15",Москва,Москва,у дома,2024-05-27
16,"Москва, магазин №16",Москва,Москва,у дома,2016-09-25
17,"Москва, магазин №17",Москва,Москва,супермаркет,2016-11-12
18,"Москва, магазин №18",Москва,Москва,супермаркет,2022-12-30
19,"Москва, магазин №19",Москва,Москва,супермаркет,2018-01-05
20,"Москва, магазин №20",Москва,Москва,у дома,2021-02-20
21,"Москва, магазин №21",Москва,Москва,супермаркет,2021-02-08
22,"Москва, магазин №22",Москва,Москва,у дома,2024-10-28
23,"Москва, магазин №23",Москва,Москва,супермаркет,2023-01-01
24,"Москва, магазин №24",Москва,Москва,у дома,2022-03-22
25,"Москва, магазин №25",Москва,Москва,супермаркет,2018-08-25
26,"Химки, магазин №1",Химки,Московская область,у дома,2018-09-04
27,"Химки, магазин №2",Химки,Московская область,у дома,2020-09-10
28,"Подольск, магазин №1",Подольск,Московская область,гипермаркет,2018-12-26
29,"Подольск, магазин №2",Подольск,Московская область,супермаркет,2017-02-13
30,"Подольск, магазин №3",Подольск,Московская область,у дома,2023-10-18
31,"Балашиха, магазин №1",Балашиха,Московская область,гипермаркет,2021-10-23
32,"Балашиха, магазин №2",Балашиха,Московская область,у дома,2023-06-26
33,"Балашиха, магазин №3",Балашиха,Московская область,супермаркет,2014-09-21
